# site=Albenga, Liguria, IT
# latitude=44.05
# longitude=8.21
# elevation_m=9.0
# source=Open-Meteo historical weather API (ERA5 / ERA5-Land reanalysis), CC BY 4.0
# utc_offset_h=1.0
# start_local=2023-01-01T00:00
# fetched=2026-09-20T11:36+00:00
# unit:shortwave_radiation=W/m²
# kind:shortwave_radiation=preceding_mean
# unit:soil_moisture_0_to_7cm=m³/m³
# kind:soil_moisture_0_to_7cm=instant
# unit:temperature_2m=°C
# kind:temperature_2m=instant
# unit:relative_humidity_2m=%
# kind:relative_humidity_2m=instant
# unit:precipitation=mm
# kind:precipitation=preceding_mean
time,shortwave_radiation,soil_moisture_0_to_7cm,temperature_2m,relative_humidity_2m,precipitation
2023-08-22T07:00,85,0.127,28.8,48,0
2023-08-22T08:00,250,0.127,32.5,42,0
2023-08-22T09:00,426,0.127,34.2,37,0
2023-08-22T10:00,587,0.127,35.7,31,0
2023-08-22T11:00,712,0.127,36.1,32,0
2023-08-22T12:00,789,0.127,35.4,40,0
2023-08-22T13:00,817,0.127,34.9,40,0
2023-08-22T14:00,787,0.126,36,33,0
2023-08-22T15:00,705,0.126,36.4,29,0
2023-08-22T16:00,579,0.126,36.3,30,0
2023-08-22T17:00,412,0.126,36.2,31,0
2023-08-22T18:00,241,0.126,35.9,32,0
2023-08-22T19:00,80,0.126,34.6,35,0
2023-08-22T20:00,3,0.126,32.4,41,0
2023-08-22T21:00,0,0.126,30.7,46,0
2023-08-22T22:00,0,0.126,29.3,49,0
2023-08-22T23:00,0,0.126,28.4,53,0
2023-08-23T00:00,0,0.126,27.8,55,0
2023-08-23T01:00,0,0.126,27.1,54,0
2023-08-23T02:00,0,0.126,26.9,53,0
2023-08-23T03:00,0,0.126,27.1,50,0
2023-08-23T04:00,0,0.126,27.1,49,0
2023-08-23T05:00,0,0.126,26.3,52,0
2023-08-23T06:00,2,0.126,25.6,54,0
2023-08-23T07:00,81,0.126,28.1,51,0
2023-08-23T08:00,242,0.126,32.3,40,0
2023-08-23T09:00,417,0.126,34,38,0
2023-08-23T10:00,576,0.126,35.3,37,0
2023-08-23T11:00,701,0.126,35.8,39,0
2023-08-23T12:00,781,0.126,35.7,40,0
2023-08-23T13:00,802,0.125,35.4,35,0
2023-08-23T14:00,715,0.125,35.8,34,0
2023-08-23T15:00,603,0.125,36,34,0
2023-08-23T16:00,481,0.125,36,35,0
2023-08-23T17:00,360,0.125,35.6,38,0
2023-08-23T18:00,203,0.125,35.3,38,0
2023-08-23T19:00,75,0.125,34.2,40,0
2023-08-23T20:00,2,0.125,32.4,46,0
2023-08-23T21:00,0,0.125,31,50,0
2023-08-23T22:00,0,0.125,29.4,62,0
2023-08-23T23:00,0,0.125,29.2,55,0
2023-08-24T00:00,0,0.125,29,52,0
2023-08-24T01:00,0,0.125,27.9,49,0
2023-08-24T02:00,0,0.125,27.2,50,0
